Participante,VLT,Perfil,Frase,Condicao,Escolha,RT_Alvo
C1115,0,Bilingue,7,ThirdPSing,2,
C1115,0,Bilingue,8,ThirdPSing,2,
C1116,0,Bilingue,1,ThirdPSing,2,
C1116,0,Bilingue,2,ThirdPSing,1,2862
C1116,0,Bilingue,3,ThirdPSing,2,
C1116,0,Bilingue,4,ThirdPSing,1,2797
C1116,0,Bilingue,5,ThirdPSing,2,2103
C1116,0,Bilingue,6,ThirdPSing,1,3006
C1116,0,Bilingue,7,ThirdPSing,2,
C1116,0,Bilingue,8,ThirdPSing,2,
C1117,0,Bilingue,1,ThirdPSing,1,2143
C1117,0,Bilingue,2,ThirdPSing,2,
C1117,0,Bilingue,3,ThirdPSing,2,
C1117,0,Bilingue,4,ThirdPSing,2,
C1117,0,Bilingue,5,ThirdPSing,2,
C1117,0,Bilingue,6,ThirdPSing,1,4611
C1117,0,Bilingue,7,ThirdPSing,1,1859
C1117,0,Bilingue,8,ThirdPSing,2,
C1118,0,Bilingue,1,ThirdPSing,2,
C1118,0,Bilingue,2,ThirdPSing,2,
C1118,0,Bilingue,3,ThirdPSing,2,
C1118,0,Bilingue,4,ThirdPSing,2,
C1118,0,Bilingue,5,ThirdPSing,2,
C1118,0,Bilingue,6,ThirdPSing,2,
C1118,0,Bilingue,7,ThirdPSing,2,
C1118,0,Bilingue,8,ThirdPSing,2,
C1119,0,Bilingue,1,ThirdPSing,2,
C1119,0,Bilingue,2,ThirdPSing,1,793
C1119,0,Bilingue,3,ThirdPSing,2,
C1119,0,Bilingue,4,ThirdPSing,2,
C1119,0,Bilingue,5,ThirdPSing,2,
C1119,0,Bilingue,6,ThirdPSing,2,
C1119,0,Bilingue,7,ThirdPSing,1,3566
C1119,0,Bilingue,8,ThirdPSing,1,2664
C1120,0,Bilingue,1,ThirdPSing,1,1688
C1120,0,Bilingue,2,ThirdPSing,1,1605
C1120,0,Bilingue,3,ThirdPSing,2,
C1120,0,Bilingue,4,ThirdPSing,1,1257
C1120,0,Bilingue,5,ThirdPSing,1,1900
C1120,0,Bilingue,6,ThirdPSing,2,
C1120,0,Bilingue,7,ThirdPSing,2,
C1120,0,Bilingue,8,ThirdPSing,2,
C1121,0,Bilingue,1,ThirdPSing,2,
C1121,0,Bilingue,2,ThirdPSing,2,
C1121,0,Bilingue,3,ThirdPSing,1,1963
C1121,0,Bilingue,4,ThirdPSing,1,2084
C1121,0,Bilingue,5,ThirdPSing,2,
C1121,0,Bilingue,6,ThirdPSing,2,
C1121,0,Bilingue,7,ThirdPSing,2,
C1121,0,Bilingue,8,ThirdPSing,1,2718
C1122,0,Bilingue,1,ThirdPSing,2,
C1122,0,Bilingue,2,ThirdPSing,1,2090
C1122,0,Bilingue,3,ThirdPSing,2,
C1122,0,Bilingue,4,ThirdPSing,2,
C1122,0,Bilingue,5,ThirdPSing,3,
